threshold,precision,recall,f1,accuracy,specificity,fpr,fnr,tn,fp,fn,tp,total_cost
0.58,0.8067915690866511,0.4226993865030675,0.5547504025764894,0.86175,0.9740973312401884,0.02590266875981162,0.5773006134969325,6205,165,941,689,4870.0
0.59,0.8139255702280912,0.41595092024539876,0.5505481120584652,0.861625,0.9756671899529042,0.024332810047095754,0.5840490797546012,6215,155,952,678,4915.0
0.6,0.8172959805115713,0.4116564417177914,0.5475316197470421,0.861375,0.9764521193092621,0.023547880690737877,0.5883435582822086,6220,150,959,671,4945.0
0.61,0.8268506900878294,0.40429447852760736,0.5430572723526987,0.861375,0.9783359497645212,0.021664050235478793,0.5957055214723926,6232,138,971,659,4993.0
0.62,0.8307692307692308,0.39754601226993863,0.537759336099585,0.86075,0.9792778649921507,0.02072213500784925,0.6024539877300613,6238,132,982,648,5042.0
0.63,0.8405797101449275,0.3914110429447853,0.5341146923398912,0.860875,0.9810047095761382,0.018995290423861833,0.6085889570552148,6249,121,992,638,5081.0
0.64,0.844804318488529,0.38404907975460123,0.5280472374525517,0.860125,0.9819466248037677,0.01805337519623229,0.6159509202453988,6255,115,1004,626,5135.0
0.65,0.8522099447513812,0.37852760736196317,0.5242141036533561,0.86,0.9832025117739404,0.016797488226059643,0.6214723926380368,6263,107,1013,617,5172.0
0.66,0.86,0.3693251533742331,0.5167381974248927,0.85925,0.9846153846153847,0.01538461538461533,0.6306748466257669,6272,98,1028,602,5238.0
0.67,0.8671532846715329,0.36441717791411044,0.5131749460043198,0.859125,0.9857142857142858,0.014285714285714235,0.6355828220858896,6279,91,1036,594,5271.0
0.68,0.8674698795180723,0.35337423312883437,0.5021795989537925,0.85725,0.9861852433281004,0.013814756671899575,0.6466257668711657,6282,88,1054,576,5358.0
0.69,0.8723076923076923,0.3478527607361963,0.4973684210526316,0.85675,0.9869701726844584,0.013029827315541587,0.6521472392638037,6287,83,1063,567,5398.0
0.7,0.8767772511848341,0.34049079754601225,0.4904993371630578,0.855875,0.9877551020408163,0.01224489795918371,0.6595092024539877,6292,78,1075,555,5453.0
0.71,0.8809135399673735,0.3312883435582822,0.48149799375835933,0.854625,0.9885400313971743,0.01145996860282572,0.6687116564417178,6297,73,1090,540,5523.0
0.72,0.8877551020408163,0.3202453987730061,0.4706943192064923,0.85325,0.9896389324960754,0.010361067503924626,0.6797546012269938,6304,66,1108,522,5606.0
0.73,0.8877374784110535,0.31533742331288345,0.46536894522408323,0.852375,0.9897959183673469,0.010204081632653073,0.6846625766871166,6305,65,1116,514,5645.0
0.74,0.8972972972972973,0.30552147239263805,0.45583524027459954,0.851375,0.9910518053375196,0.008948194662480424,0.694478527607362,6313,57,1132,498,5717.0
0.75,0.9026217228464419,0.29570552147239265,0.4454713493530499,0.85,0.9918367346938776,0.008163265306122436,0.7042944785276074,6318,52,1148,482,5792.0
0.76,0.9038461538461539,0.2883435582822086,0.4372093023255814,0.84875,0.9921507064364207,0.00784929356357933,0.7116564417177914,6320,50,1160,470,5850.0
0.77,0.9050505050505051,0.2748466257668712,0.4216470588235295,0.846375,0.9926216640502354,0.007378335949764558,0.7251533742331289,6323,47,1182,448,5957.0
0.78,0.9083333333333333,0.2674846625766871,0.4132701421800948,0.84525,0.9930926216640502,0.0069073783359497876,0.7325153374233129,6326,44,1194,436,6014.0
0.79,0.9118279569892473,0.26012269938650306,0.4047732696897374,0.844125,0.993563579277865,0.006436420722135017,0.7398773006134969,6329,41,1206,424,6071.0
0.8,0.9202733485193622,0.24785276073619633,0.39052682455292415,0.842375,0.9945054945054945,0.005494505494505475,0.7521472392638037,6335,35,1226,404,6165.0
0.81,0.9251207729468599,0.23496932515337424,0.3747553816046966,0.84025,0.9951334379905808,0.004866562009419151,0.7650306748466258,6339,31,1247,383,6266.0
0.82,0.9367088607594937,0.22699386503067484,0.3654320987654321,0.839375,0.9960753532182104,0.003924646781789609,0.7730061349693251,6345,25,1260,370,6325.0
0.83,0.9410187667560321,0.21533742331288344,0.35047428856714924,0.837375,0.9965463108320252,0.0034536891679748383,0.7846625766871166,6348,22,1279,351,6417.0
0.84,0.9408450704225352,0.2049079754601227,0.33652392947103277,0.835375,0.9967032967032967,0.003296703296703285,0.7950920245398773,6349,21,1296,334,6501.0
0.85,0.9507692307692308,0.18957055214723925,0.31611253196930944,0.832875,0.9974882260596546,0.0025117739403454076,0.8104294478527607,6354,16,1321,309,6621.0
0.86,0.961038961038961,0.18159509202453988,0.30546955624355004,0.83175,0.998116169544741,0.0018838304552589724,0.8184049079754602,6358,12,1334,296,6682.0
0.87,0.958041958041958,0.16809815950920245,0.2860125260960334,0.829,0.998116169544741,0.0018838304552589724,0.8319018404907975,6358,12,1356,274,6792.0
0.88,0.966789667896679,0.1607361963190184,0.2756443976854287,0.827875,0.9985871271585557,0.0014128728414443126,0.8392638036809816,6361,9,1368,262,6849.0
0.89,0.9718875502008032,0.14846625766871166,0.25758382118147954,0.825625,0.9989010989010989,0.001098901098901095,0.8515337423312883,6363,7,1388,242,6947.0
0.9,0.9724770642201835,0.13006134969325153,0.2294372294372294,0.822,0.9990580847723705,0.0009419152276295417,0.8699386503067484,6364,6,1418,212,7096.0
0.91,0.9728260869565217,0.1098159509202454,0.1973539140022051,0.818,0.9992150706436421,0.0007849293563578774,0.8901840490797546,6365,5,1451,179,7260.0
0.92,0.9727891156462585,0.08773006134969324,0.16094541361845807,0.813625,0.9993720565149137,0.0006279434850863241,0.9122699386503067,6366,4,1487,143,7439.0
0.93,0.9824561403508771,0.0687116564417178,0.12844036697247707,0.81,0.9996860282574568,0.0003139717425432176,0.9312883435582822,6368,2,1518,112,7592.0
0.94,0.9883720930232558,0.05214723926380368,0.09906759906759907,0.80675,0.9998430141287284,0.00015698587127155328,0.9478527607361963,6369,1,1545,85,7726.0
0.95,1.0,0.033128834355828224,0.06413301662707839,0.803,1.0,0.0,0.9668711656441717,6370,0,1576,54,7880.0
