threshold,precision,recall,f1,accuracy,specificity,fpr,fnr,tn,fp,fn,tp,total_cost,model,calibration
0.19,0.4359263434798948,0.7116564417177914,0.5406665113027266,0.753625,0.7643642072213501,0.23563579277864988,0.2883435582822086,4869,1501,470,1160,3851.0,HistGradientBoosting+sigmoid,sigmoid
0.2,0.4434546862896979,0.7024539877300614,0.5436847103513771,0.75975,0.7744113029827315,0.22558869701726847,0.29754601226993865,4933,1437,485,1145,3862.0,HistGradientBoosting+sigmoid,sigmoid
0.21,0.4514081713605712,0.698159509202454,0.548301614068899,0.765625,0.7828885400313972,0.21711145996860282,0.301840490797546,4987,1383,492,1138,3843.0,HistGradientBoosting+sigmoid,sigmoid
0.22,0.4564686737184703,0.6883435582822086,0.5489236790606654,0.7695,0.7902668759811617,0.20973312401883826,0.3116564417177914,5034,1336,508,1122,3876.0,HistGradientBoosting+sigmoid,sigmoid
0.23,0.47145328719723184,0.6687116564417178,0.5530187721968544,0.77975,0.8081632653061225,0.19183673469387752,0.3312883435582822,5148,1222,540,1090,3922.0,HistGradientBoosting+sigmoid,sigmoid
0.24,0.49402199904351984,0.6337423312883436,0.555227089492072,0.793125,0.8339089481946624,0.16609105180533756,0.36625766871165644,5312,1058,597,1033,4043.0,HistGradientBoosting+sigmoid,sigmoid
0.25,0.5109526235354049,0.6153374233128834,0.5583078207625939,0.801625,0.8492935635792779,0.15070643642072212,0.38466257668711656,5410,960,627,1003,4095.0,HistGradientBoosting+sigmoid,sigmoid
0.26,0.5290918977705275,0.5969325153374233,0.5609685788411646,0.809625,0.8640502354788069,0.13594976452119312,0.4030674846625767,5504,866,657,973,4151.0,HistGradientBoosting+sigmoid,sigmoid
0.27,0.5504694835680751,0.5754601226993865,0.5626874625074985,0.81775,0.8797488226059654,0.12025117739403457,0.4245398773006135,5604,766,692,938,4226.0,HistGradientBoosting+sigmoid,sigmoid
0.28,0.5617433414043583,0.5693251533742332,0.5655088360755637,0.82175,0.8863422291993721,0.11365777080062789,0.4306748466257669,5646,724,702,928,4234.0,HistGradientBoosting+sigmoid,sigmoid
0.29,0.5741565881604074,0.5533742331288344,0.563573883161512,0.825375,0.8949764521193092,0.10502354788069079,0.4466257668711656,5701,669,728,902,4309.0,HistGradientBoosting+sigmoid,sigmoid
0.3,0.5849180327868853,0.5472392638036809,0.5654516640253565,0.828625,0.9006279434850863,0.09937205651491365,0.452760736196319,5737,633,738,892,4323.0,HistGradientBoosting+sigmoid,sigmoid
0.31,0.5927662424648359,0.5429447852760736,0.5667627281460135,0.830875,0.904552590266876,0.09544740973312404,0.4570552147239264,5762,608,745,885,4333.0,HistGradientBoosting+sigmoid,sigmoid
0.32,0.5968834688346883,0.5404907975460123,0.5672891178364456,0.832,0.9065934065934066,0.09340659340659341,0.45950920245398774,5775,595,749,881,4340.0,HistGradientBoosting+sigmoid,sigmoid
0.33,0.5978260869565217,0.5398773006134969,0.5673758865248226,0.83225,0.9070643642072214,0.09293563579277864,0.4601226993865031,5778,592,750,880,4342.0,HistGradientBoosting+sigmoid,sigmoid
0.34,0.5991820040899796,0.5392638036809816,0.5676461091378754,0.832625,0.9076923076923077,0.09230769230769231,0.4607361963190184,5782,588,751,879,4343.0,HistGradientBoosting+sigmoid,sigmoid
0.35,0.6015141087405368,0.5361963190184049,0.5669802140771975,0.833125,0.909105180533752,0.090894819466248,0.4638036809815951,5791,579,756,874,4359.0,HistGradientBoosting+sigmoid,sigmoid
0.36,0.6044568245125348,0.5325153374233129,0.5662100456621004,0.83375,0.9108320251177394,0.08916797488226058,0.46748466257668714,5802,568,762,868,4378.0,HistGradientBoosting+sigmoid,sigmoid
0.37,0.607773851590106,0.5276073619631901,0.5648604269293924,0.834375,0.9128728414442701,0.08712715855572994,0.4723926380368098,5815,555,770,860,4405.0,HistGradientBoosting+sigmoid,sigmoid
