model,fpr,tpr,threshold
ProductionV2,0.4692211055276382,0.8700980392156863,0.11638003991080895
ProductionV2,0.47173366834170855,0.8700980392156863,0.11508893520158081
ProductionV2,0.4723618090452261,0.8700980392156863,0.11503802805117003
ProductionV2,0.47361809045226133,0.8700980392156863,0.11465873730830876
ProductionV2,0.47675879396984927,0.8700980392156863,0.11384922302723187
ProductionV2,0.4792713567839196,0.8700980392156863,0.11365273388794668
ProductionV2,0.4798994974874372,0.8700980392156863,0.11334430884270522
ProductionV2,0.4824120603015075,0.8700980392156863,0.11305855813128855
ProductionV2,0.4836683417085427,0.8700980392156863,0.11267812852276704
ProductionV2,0.48555276381909546,0.8700980392156863,0.11255996544866254
ProductionV2,0.49246231155778897,0.8725490196078431,0.11241333188804202
ProductionV2,0.49309045226130654,0.8725490196078431,0.11184484701494861
ProductionV2,0.4943467336683417,0.8774509803921569,0.11088978543353063
ProductionV2,0.4956030150753769,0.8799019607843137,0.11075111391547213
ProductionV2,0.49874371859296485,0.8823529411764706,0.11070467807335511
ProductionV2,0.4993718592964824,0.8823529411764706,0.11052869577837346
ProductionV2,0.4993718592964824,0.8848039215686274,0.10954675135105744
ProductionV2,0.5006281407035176,0.8848039215686274,0.10941595338704099
ProductionV2,0.503140703517588,0.8848039215686274,0.10920250532153147
ProductionV2,0.5037688442211056,0.8848039215686274,0.1076227398915286
ProductionV2,0.5037688442211056,0.8872549019607843,0.10534554924706512
ProductionV2,0.5043969849246231,0.8872549019607843,0.10487200104361556
ProductionV2,0.5050251256281407,0.8897058823529411,0.10475047144033614
ProductionV2,0.507537688442211,0.8897058823529411,0.1025028912466398
ProductionV2,0.5081658291457286,0.8921568627450981,0.10246404021903605
ProductionV2,0.5094221105527639,0.8921568627450981,0.10185196530356339
ProductionV2,0.5125628140703518,0.8921568627450981,0.10143510936791823
ProductionV2,0.5138190954773869,0.8921568627450981,0.10141654886179978
ProductionV2,0.5150753768844221,0.8921568627450981,0.10027115130822958
ProductionV2,0.5169597989949749,0.8921568627450981,0.09870719222912222
ProductionV2,0.5194723618090452,0.8921568627450981,0.09768381019392984
ProductionV2,0.5232412060301508,0.8946078431372549,0.0971706928438366
ProductionV2,0.5251256281407035,0.8946078431372549,0.09707372121109356
ProductionV2,0.5263819095477387,0.8970588235294118,0.09597570292513682
ProductionV2,0.5276381909547738,0.8970588235294118,0.09533144611196517
ProductionV2,0.5295226130653267,0.8970588235294118,0.09530426202745824
ProductionV2,0.5301507537688442,0.8970588235294118,0.09494316471790112
ProductionV2,0.5332914572864321,0.8995098039215687,0.09334439290165568
ProductionV2,0.5345477386934674,0.9019607843137255,0.09288371030839031
ProductionV2,0.5358040201005025,0.9019607843137255,0.09246877481311018
ProductionV2,0.5376884422110553,0.9019607843137255,0.09239528063604578
ProductionV2,0.5383165829145728,0.9019607843137255,0.0911585913522356
ProductionV2,0.5433417085427136,0.9068627450980392,0.08866780383895334
ProductionV2,0.5452261306532663,0.9068627450980392,0.08643360406187982
ProductionV2,0.5458542713567839,0.9068627450980392,0.08368158551266848
ProductionV2,0.5471105527638191,0.9068627450980392,0.0832730478209084
ProductionV2,0.550251256281407,0.9093137254901961,0.08316386773402876
